id,fecha,kernel,gamma,true_neg,false_pos,false_neg,true_pos,precision,recall,fbeta_score,columnas
0,20200629-102428,rbf,scale,106,6,59,7,0.634831461,0.634831461,0.634831461,Age
0,20200629-102436,rbf,scale,89,23,51,15,0.584269663,0.584269663,0.584269663,SibSp
0,20200629-102441,rbf,scale,106,6,57,9,0.646067416,0.646067416,0.646067416,Parch
0,20200629-102448,rbf,scale,97,15,51,15,0.629213483,0.629213483,0.629213483,Embarked
0,20200629-102454,rbf,scale,81,31,28,38,0.668539326,0.668539326,0.668539326,passenger_class
0,20200629-102459,rbf,scale,94,18,22,44,0.775280899,0.775280899,0.775280899,passenger_sex
0,20200629-102504,rbf,scale,109,3,64,2,0.623595506,0.623595506,0.623595506,cat_edad
0,20200629-102521,rbf,scale,94,18,22,44,0.775280899,0.775280899,0.775280899,"passenger_class,passenger_sex"
0,20200629-102529,rbf,scale,103,9,23,43,0.820224719,0.820224719,0.820224719,"SibSp,Parch,passenger_class,passenger_sex"
0,20200629-102540,rbf,scale,112,0,65,1,0.634831461,0.634831461,0.634831461,"Age,SibSp,Parch,passenger_class,passenger_sex"
0,20200629-102551,rbf,scale,106,6,23,43,0.837078652,0.837078652,0.837078652,"SibSp,Parch,Embarked,passenger_class,passenger_sex"
0,20200629-102601,rbf,scale,108,4,23,43,0.848314607,0.848314607,0.848314607,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-102643,rbf,scale,110,7,22,40,0.837988827,0.837988827,0.837988827,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-102904,rbf,scale,112,0,56,10,0.685393258,0.685393258,0.685393258,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-102915,rbf,scale,112,0,66,0,0.629213483,0.629213483,0.629213483,"Age,SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-102929,rbf,scale,112,0,65,1,0.634831461,0.634831461,0.634831461,"Age,SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-102934,rbf,scale,108,4,23,43,0.848314607,0.848314607,0.848314607,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-155002,rbf,scale,108,4,23,43,0.848314606741573,0.848314606741573,0.848314606741573,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-161755,rbf,scale,108,4,23,43,0.848314606741573,0.848314606741573,0.848314606741573,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-183901,rbf,scale,99,7,31,41,0.7865168539325843,0.7865168539325843,0.7865168539325842,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-183919,rbf,scale,99,7,31,41,0.7865168539325843,0.7865168539325843,0.7865168539325842,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-183931,rbf,scale,99,7,31,41,0.7865168539325843,0.7865168539325843,0.7865168539325842,"Age,SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-183952,rbf,scale,99,7,30,42,0.7921348314606742,0.7921348314606742,0.7921348314606742,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-184009,rbf,scale,96,10,31,41,0.7696629213483146,0.7696629213483146,0.7696629213483146,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-184016,rbf,scale,99,7,30,42,0.7921348314606742,0.7921348314606742,0.7921348314606742,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-184026,rbf,scale,99,7,30,42,0.7921348314606742,0.7921348314606742,0.7921348314606742,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-184033,rbf,scale,99,7,30,42,0.7921348314606742,0.7921348314606742,0.7921348314606742,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-184038,rbf,scale,100,6,30,42,0.797752808988764,0.797752808988764,0.797752808988764,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex"
0,20200629-185752,rbf,scale,93,13,24,48,0.7921348314606742,0.7921348314606742,0.7921348314606742,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex"
0,20200629-185800,rbf,scale,93,13,24,48,0.7921348314606742,0.7921348314606742,0.7921348314606742,"Age,SibSp,Parch,Embarked,passenger_class,passenger_sex"
0,20200629-185805,rbf,scale,93,13,24,48,0.7921348314606742,0.7921348314606742,0.7921348314606742,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex"
0,20200629-185829,sigmoid,scale,69,37,45,27,0.5393258426966292,0.5393258426966292,0.5393258426966292,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex"
0,20200629-185836,sigmoid,scale,69,37,45,27,0.5393258426966292,0.5393258426966292,0.5393258426966292,"SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex"
0,20200629-185842,sigmoid,scale,86,20,27,45,0.7359550561797753,0.7359550561797753,0.7359550561797754,passenger_sex
0,20200629-185852,sigmoid,scale,79,27,37,35,0.6404494382022472,0.6404494382022472,0.6404494382022472,"Age,passenger_sex"
0,20200629-185906,sigmoid,scale,65,41,47,25,0.5056179775280899,0.5056179775280899,0.5056179775280899,"Age,passenger_class,passenger_sex"
0,20200629-185914,poly,scale,104,2,35,37,0.7921348314606742,0.7921348314606742,0.7921348314606742,"Age,passenger_class,passenger_sex"
0,20200629-191013,sigmoid,scale,65,41,47,25,0.5056179775280899,0.5056179775280899,0.5056179775280899,"Age,passenger_class,passenger_sex"
0,20200629-191034,poly,scale,102,4,35,37,0.7808988764044944,0.7808988764044944,0.7808988764044944,"Age,SibSp,Parch,passenger_class,passenger_sex"
0,20200629-191113,sigmoid,scale,72,34,45,27,0.5561797752808989,0.5561797752808989,0.5561797752808989,"Age,SibSp,Parch,passenger_class,passenger_sex"
0,20200629-191125,sigmoid,scale,71,35,44,28,0.5561797752808989,0.5561797752808989,0.5561797752808989,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-191137,sigmoid,scale,71,35,45,27,0.550561797752809,0.550561797752809,0.550561797752809,"Age,SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-191145,sigmoid,scale,69,37,45,27,0.5393258426966292,0.5393258426966292,0.5393258426966292,"Age,SibSp,Parch,Embarked,passenger_class,passenger_sex"
0,20200629-191152,sigmoid,scale,69,37,45,27,0.5393258426966292,0.5393258426966292,0.5393258426966292,"SibSp,Parch,Embarked,passenger_class,passenger_sex"
0,20200629-191200,sigmoid,scale,72,34,45,27,0.5561797752808989,0.5561797752808989,0.5561797752808989,"SibSp,Parch,passenger_class,passenger_sex"
0,20200629-191206,sigmoid,scale,62,44,46,26,0.4943820224719101,0.4943820224719101,0.4943820224719101,"passenger_class,passenger_sex"
0,20200629-191212,sigmoid,scale,86,20,27,45,0.7359550561797753,0.7359550561797753,0.7359550561797754,passenger_sex
0,20200629-191238,sigmoid,auto,86,20,27,45,0.7359550561797753,0.7359550561797753,0.7359550561797754,passenger_sex
0,20200629-191253,sigmoid,auto,77,29,38,34,0.6235955056179775,0.6235955056179775,0.6235955056179775,"passenger_class,passenger_sex"
0,20200629-191301,poly,auto,105,1,38,34,0.7808988764044944,0.7808988764044944,0.7808988764044944,"passenger_class,passenger_sex"
0,20200629-191308,rbf,auto,105,1,38,34,0.7808988764044944,0.7808988764044944,0.7808988764044944,"passenger_class,passenger_sex"
0,20200629-191315,poly,auto,105,1,38,34,0.7808988764044944,0.7808988764044944,0.7808988764044944,"passenger_class,passenger_sex"
0,20200629-191331,rbf,auto,92,14,25,47,0.7808988764044944,0.7808988764044944,0.7808988764044944,"Age,SibSp,Parch,Fare,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-191339,rbf,auto,93,13,25,47,0.7865168539325843,0.7865168539325843,0.7865168539325842,"Age,SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-191346,rbf,auto,92,14,26,46,0.7752808988764045,0.7752808988764045,0.7752808988764045,"SibSp,Parch,Embarked,passenger_class,passenger_sex,cat_edad"
0,20200629-191355,rbf,auto,91,15,24,48,0.7808988764044944,0.7808988764044944,0.7808988764044944,"Age,SibSp,Parch,Embarked,passenger_class,passenger_sex"
0,20200629-191409,rbf,auto,91,15,24,48,0.7808988764044944,0.7808988764044944,0.7808988764044944,"Age,SibSp,Parch,passenger_class,passenger_sex"
0,20200629-212843,rbf,auto,91,15,24,48,0.7808988764044944,0.7808988764044944,0.7808988764044944,"Age,SibSp,Parch,passenger_class,passenger_sex"
0,20200629-213808,rbf,auto,91,15,24,48,0.7808988764044944,0.7808988764044944,0.7808988764044944,"Age,SibSp,Parch,passenger_class,passenger_sex"
